Major Text,Minor Text,Type,Financial Year,BCU Name,OCU Name,Sum Value
Special,Artifice Burglary,Offences,fy20-21,Central East Command Unit,Hackney,1
Special,Artifice Burglary,Offences,fy20-21,Central East Command Unit,Hackney,2
Special,Artifice Burglary,Offences,fy20-21,Central East Command Unit,Tower Hamlets,2
Special,Artifice Burglary,Offences,fy20-21,Central East Command Unit,Tower Hamlets,6
Special,Dog Attack,Offences,fy20-21,Central East Command Unit,Hackney,8
Special,Dog Attack,Offences,fy20-21,Central East Command Unit,Hackney,6
Special,Dog Attack,Offences,fy20-21,Central East Command Unit,Tower Hamlets,4
Special,Dog Attack,Offences,fy20-21,Central East Command Unit,Tower Hamlets,5
Special,Gun Crime,Offences,fy20-21,Central East Command Unit,Hackney,15
Special,Gun Crime,Offences,fy20-21,Central East Command Unit,Hackney,5
Special,Gun Crime,Offences,fy20-21,Central East Command Unit,Tower Hamlets,4
Special,Gun Crime,Offences,fy20-21,Central East Command Unit,Tower Hamlets,5
Special,Gun Crime Lethal Barrelled Discharged,Offences,fy20-21,Central East Command Unit,Hackney,7
Special,Gun Crime Lethal Barrelled Discharged,Offences,fy20-21,Central East Command Unit,Hackney,0
Special,Gun Crime Lethal Barrelled Discharged,Offences,fy20-21,Central East Command Unit,Tower Hamlets,0
Special,Gun Crime Lethal Barrelled Discharged,Offences,fy20-21,Central East Command Unit,Tower Hamlets,1
Special,Gun Crime Personal Robbery,Offences,fy20-21,Central East Command Unit,Hackney,3
Special,Gun Crime Personal Robbery,Offences,fy20-21,Central East Command Unit,Hackney,0
Special,Gun Crime Personal Robbery,Offences,fy20-21,Central East Command Unit,Tower Hamlets,0
Special,Gun Crime Personal Robbery,Offences,fy20-21,Central East Command Unit,Tower Hamlets,0
Special,Homicide,Offences,fy20-21,Central East Command Unit,Hackney,0
Special,Homicide,Offences,fy20-21,Central East Command Unit,Hackney,0
Special,Homicide,Offences,fy20-21,Central East Command Unit,Tower Hamlets,1
